Position,Decimal,Appearance
,,
0x0000-0x007F,0-127,
0x0080-0x00FF,128-255,
0x0100-0x017F,256-383,
0x0180-0x024F,384-591,
0x0250-0x02AF,592-687,
0x02B0-0x02FF,688-767,
0x0300-0x036F,768-879,
0x0370-0x03FF,880-1023,
0x0400-0x04FF,1024-1279,
0x0530-0x058F,1328-1423,
0x0590-0x05FF,1424-1535,
0x0600-0x06FF,1536-1791,
0x0700-0x074F,1792-1871,
0x0780-0x07BF,1920-1983,
0x0900-0x097F,2304-2431,
0x0980-0x09FF,2432-2559,
0x0A00-0x0A7F,2560-2687,
0x0A80-0x0AFF,2688-2815,
0x0B00-0x0B7F,2816-2943,
0x0B80-0x0BFF,2944-3071,
0x0C00-0x0C7F,3072-3199,
0x0C80-0x0CFF,3200-3327,
0x0D00-0x0D7F,3328-3455,
0x0D80-0x0DFF,3456-3583,
0x0E00-0x0E7F,3584-3711,
0x0E80-0x0EFF,3712-3839,
0x0F00-0x0FFF,3840-4095,
0x1000-0x109F,4096-4255,
0x10A0-0x10FF,4256-4351,
0x1100-0x11FF,4352-4607,
0x1200-0x137F,4608-4991,
0x13A0-0x13FF,5024-5119,
0x1400-0x167F,5120-5759,
0x1680-0x169F,5760-5791,
0x16A0-0x16FF,5792-5887,
0x1780-0x17FF,6016-6143,
0x1800-0x18AF,6144-6319,
0x1E00-0x1EFF,7680-7935,
0x1F00-0x1FFF,7936-8191,
0x2000-0x206F,8192-8303,
0x2070-0x209F,8304-8351,
0x20A0-0x20CF,8352-8399,
0x20D0-0x20FF,8400-8447,
0x2100-0x214F,8448-8527,
0x2150-0x218F,8528-8591,
0x2190-0x21FF,8592-8703,
0x2200-0x22FF,8704-8959,
0x2300-0x23FF,8960-9215,
0x2400-0x243F,9216-9279,
0x2440-0x245F,9280-9311,
0x2460-0x24FF,9312-9471,
0x2500-0x257F,9472-9599,
0x2580-0x259F,9600-9631,
0x25A0-0x25FF,9632-9727,
0x2600-0x26FF,9728-9983,
0x2700-0x27BF,9984-10175,
0x2800-0x28FF,10240-10495,
0x2E80-0x2EFF,11904-12031,
0x2F00-0x2FDF,12032-12255,
0x2FF0-0x2FFF,12272-12287,
0x3000-0x303F,12288-12351,
0x3040-0x309F,12352-12447,
0x30A0-0x30FF,12448-12543,
0x3100-0x312F,12544-12591,
0x3130-0x318F,12592-12687,
0x3190-0x319F,12688-12703,
0x31A0-0x31BF,12704-12735,
0x3200-0x32FF,12800-13055,
0x3300-0x33FF,13056-13311,
0x3400-0x4DB5,13312-19893,
0x4E00-0x9FFF,19968-40959,
0xA000-0xA48F,40960-42127,
0xA490-0xA4CF,42128-42191,
0xAC00-0xD7A3,44032-55203,
0xD800-0xDB7F,55296-56191,
0xDB80-0xDBFF,56192-56319,
0xDC00-0xDFFF,56320-57343,
0xE000-0xF8FF,57344-63743,
0xF900-0xFAFF,63744-64255,
0xFB00-0xFB4F,64256-64335,
0xFB50-0xFDFF,64336-65023,
0xFE20-0xFE2F,65056-65071,
0xFE30-0xFE4F,65072-65103,
0xFE50-0xFE6F,65104-65135,
0xFE70-0xFEFE,65136-65278,
0xFEFF-0xFEFF,65279-65279,
0xFF00-0xFFEF,65280-65519,
0xFFF0-0xFFFD,65520-65533,
,,
,,
0x0000,0,
0x0001,1,
0x0002,2,
0x0003,3,
0x0004,4,
0x0005,5,
0x0006,6,
0x0007,7,
0x0008,8,
0x0009,9, 
0x000A,10,"
"
0x000B,11,
0x000C,12, 
0x000D,13,"
"
0x000E,14,
0x000F,15,
0x0010,16,
0x0011,17,
0x0012,18,
0x0013,19,
0x0014,20,
0x0015,21,
0x0016,22,
0x0017,23,
0x0018,24,
0x0019,25,
0x001A,26,
0x001B,27,
0x001C,28,
0x001D,29,
0x001E,30,
0x001F,31,
0x0020,32, 
0x0021,33,!
0x0022,34,""""
0x0023,35,#
0x0024,36,$
0x0025,37,%
0x0026,38,&
0x0027,39,'
0x0028,40,(
0x0029,41,)
0x002A,42,*
0x002B,43,+
0x002C,44,","
0x002D,45,-
0x002E,46,.
0x002F,47,/
0x0030,48,0
0x0031,49,1
0x0032,50,2
0x0033,51,3
0x0034,52,4
0x0035,53,5
0x0036,54,6
0x0037,55,7
0x0038,56,8
0x0039,57,9
0x003A,58,:
0x003B,59,;
0x003C,60,<
0x003D,61,=
0x003E,62,>
0x003F,63,?
0x0040,64,@
0x0041,65,A
0x0042,66,B
0x0043,67,C
0x0044,68,D
0x0045,69,E
0x0046,70,F
0x0047,71,G
0x0048,72,H
0x0049,73,I
0x004A,74,J
0x004B,75,K
0x004C,76,L
0x004D,77,M
0x004E,78,N
0x004F,79,O
0x0050,80,P
0x0051,81,Q
0x0052,82,R
0x0053,83,S
0x0054,84,T
0x0055,85,U
0x0056,86,V
0x0057,87,W
0x0058,88,X
0x0059,89,Y
0x005A,90,Z
0x005B,91,[
0x005C,92,\
0x005D,93,]
0x005E,94,^
0x005F,95,_
0x0060,96,`
0x0061,97,a
0x0062,98,b
0x0063,99,c
0x0064,100,d
0x0065,101,e
0x0066,102,f
0x0067,103,g
0x0068,104,h
0x0069,105,i
0x006A,106,j
0x006B,107,k
0x006C,108,l
0x006D,109,m
0x006E,110,n
0x006F,111,o
0x0070,112,p
0x0071,113,q
0x0072,114,r
0x0073,115,s
0x0074,116,t
0x0075,117,u
0x0076,118,v
0x0077,119,w
0x0078,120,x
0x0079,121,y
0x007A,122,z
0x007B,123,{
0x007C,124,|
0x007D,125,}
0x007E,126,~
0x007F,127,
,,
0x0080,128,€
0x0081,129,�
0x0082,130,‚
0x0083,131,ƒ
0x0084,132,„
0x0085,133,…
0x0086,134,†
0x0087,135,‡
0x0088,136,ˆ
0x0089,137,‰
0x008A,138,Š
0x008B,139,‹
0x008C,140,Œ
0x008D,141,�
0x008E,142,Ž
0x008F,143,�
0x0090,144,�
0x0091,145,‘
0x0092,146,’
0x0093,147,“
0x0094,148,”
0x0095,149,•
0x0096,150,–
0x0097,151,—
0x0098,152,˜
0x0099,153,™
0x009A,154,š
0x009B,155,›
0x009C,156,œ
0x009D,157,�
0x009E,158,ž
0x009F,159,Ÿ
0x00A0,160, 
0x00A1,161,ˇ
0x00A2,162,˘
0x00A3,163,Ł
0x00A4,164,¤
0x00A5,165,Ą
0x00A6,166,¦
0x00A7,167,§
0x00A8,168,¨
0x00A9,169,©
0x00AA,170,Ş
0x00AB,171,«
0x00AC,172,¬
0x00AD,173,­
0x00AE,174,®
0x00AF,175,Ż
0x00B0,176,°
0x00B1,177,±
0x00B2,178,˛
0x00B3,179,ł
0x00B4,180,´
0x00B5,181,µ
0x00B6,182,¶
0x00B7,183,·
0x00B8,184,¸
0x00B9,185,ą
0x00BA,186,ş
0x00BB,187,»
0x00BC,188,Ľ
0x00BD,189,˝
0x00BE,190,ľ
0x00BF,191,ż
0x00C0,192,Ŕ
0x00C1,193,Á
0x00C2,194,Â
0x00C3,195,Ă
0x00C4,196,Ä
0x00C5,197,Ĺ
0x00C6,198,Ć
0x00C7,199,Ç
0x00C8,200,Č
0x00C9,201,É
0x00CA,202,Ę
0x00CB,203,Ë
0x00CC,204,Ě
0x00CD,205,Í
0x00CE,206,Î
0x00CF,207,Ď
0x00D0,208,Đ
0x00D1,209,Ń
0x00D2,210,Ň
0x00D3,211,Ó
0x00D4,212,Ô
0x00D5,213,Ő
0x00D6,214,Ö
0x00D7,215,×
0x00D8,216,Ř
0x00D9,217,Ů
0x00DA,218,Ú
0x00DB,219,Ű
0x00DC,220,Ü
0x00DD,221,Ý
0x00DE,222,Ţ
0x00DF,223,ß
0x00E0,224,ŕ
0x00E1,225,á
0x00E2,226,â
0x00E3,227,ă
0x00E4,228,ä
0x00E5,229,ĺ
0x00E6,230,ć
0x00E7,231,ç
0x00E8,232,č
0x00E9,233,é
0x00EA,234,ę
0x00EB,235,ë
0x00EC,236,ě
0x00ED,237,í
0x00EE,238,î
0x00EF,239,ď
0x00F0,240,đ
0x00F1,241,ń
0x00F2,242,ň
0x00F3,243,ó
0x00F4,244,ô
0x00F5,245,ő
0x00F6,246,ö
0x00F7,247,÷
0x00F8,248,ř
0x00F9,249,ů
0x00FA,250,ú
0x00FB,251,ű
0x00FC,252,ü
0x00FD,253,ý
0x00FE,254,ţ
0x00FF,255,˙
,,
0x0100,256,Ā
0x0101,257,ā
0x0102,258,Ă
0x0103,259,ă
0x0104,260,Ą
0x0105,261,ą
0x0106,262,Ć
0x0107,263,ć
0x0108,264,Ĉ
0x0109,265,ĉ
0x010A,266,Ċ
0x010B,267,ċ
0x010C,268,Č
0x010D,269,č
0x010E,270,Ď
